screen_name,r,w
a94f29ec57edce8617613d93cd69a4e65d9ae401,"[  0.           0.89915944  11.31462164 -10.06847248  -1.71974907
  -0.82058963   9.59487257 -11.78822155 -22.87290556 -21.97374612
 -11.55828392 -32.94137804]",[-22.87290556  -1.71974907 -10.06847248  11.31462164   0.89915944]
f78c15241903af1d220628cc92fad192e408fc30,"[ 0.          1.36130082  0.31525502  0.89953769 -2.1142458  -0.75294497
 -1.79899078 -1.2147081   0.86809856  2.22939938  1.18335358  1.76763625]",[ 0.86809856 -2.1142458   0.89953769  0.31525502  1.36130082]
3e968c1be0e1997a5ce909b4187de09c8c32acf2,"[ 0.          0.18313041  0.16435785  2.95331243 -1.99490788 -1.81177747
 -1.83055003  0.95840455  0.22334987  0.40648028  0.38770772  3.1766623 ]",[ 0.22334987 -1.99490788  2.95331243  0.16435785  0.18313041]
5067aa3dd5bfaf71c61302e0632f3071899d116c,"[  0.           0.10395803   0.18378696   6.20697437 -10.32285    -10.21889197
 -10.13906303  -4.11587563   7.76350974   7.86746777   7.94729671
  13.97048411]",[  7.76350974 -10.32285      6.20697437   0.18378696   0.10395803]
52af40f36f935bed00851d1900d069fdb144caa7,"[ 0.          1.23906306  0.70608557  1.02928937  0.19399368  1.43305674
  0.90007925  1.22328306  0.93915508  2.17821814  1.64524064  1.96844445]",[ 0.93915508  0.19399368  1.02928937  0.70608557  1.23906306]
4d2df3319e18113befcfb76adde6ec443bb5e27b,"[ 0.          0.90085088  0.46989137  1.23890934  0.57932901  1.48017989
  1.04922038  1.81823835  1.23002583  2.13087671  1.6999172   2.46893517]",[ 1.23002583  0.57932901  1.23890934  0.46989137  0.90085088]
2f8211445105c7ecaf49871d2d356bd159943bd6,"[ 0.          0.28747033  0.59063055  4.12278336 -4.52419585 -4.23672552
 -3.93356531 -0.40141249  4.06557434  4.35304467  4.65620488  8.1883577 ]",[ 4.06557434 -4.52419585  4.12278336  0.59063055  0.28747033]
004c3122603ea233abfa49fcdcc472abbe874c20,"[ 0.          0.30224127  1.20531006  1.6435296   0.35939844  0.6616397
  1.5647085   2.00292804  0.0490354   0.35127666  1.25434546  1.692565  ]",[ 0.0490354   0.35939844  1.6435296   1.20531006  0.30224127]
0018e556f86c74b53ce8e4bd3184c3919746ba3f,"[ 0.          0.1183749   0.12308258  1.8791285  -0.26096629 -0.14259139
 -0.13788372  1.6181622   3.25888669  3.37726159  3.38196927  5.13801519]",[ 3.25888669 -0.26096629  1.8791285   0.12308258  0.1183749 ]
d40e19d1144f88dafe65ca8bc5e8278800d3d1d0,"[ 0.          0.23200737  0.1158209  -2.97179283  0.30055414  0.53256151
  0.41637503 -2.67123869  5.75296751  5.98497488  5.86878841  2.78117468]",[ 5.75296751  0.30055414 -2.97179283  0.1158209   0.23200737]
